排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,RSI14,距20EMA%,5日報酬%,淘汰原因
241,3010,華立,TWSE,電子通路業,等待轉強,53.9,100,120.5,117.5,13.92,17.66,3.83,55.43,159.26,2.47,12.85,1.32,4.4,5,0,-1,-2,-56,-7454,0,480,-1026,-1749,19.51,501,-654,-1112,2967,487,-963,-1468,41.48,-3.27,-2.43,中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
242,8110,華東,TWSE,半導體業,等待轉強,53.7,100,50,47.8,16.26,13.32,5.25,25.4,254.53,0.49,18.32,2.04,2.98,2,0,0,0,0,0,0,-1031,-3083,-7785,1.24,-527,-1723,-7532,-4142,-1010,-2796,-7269,42.32,-6.33,-3.85,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
243,3048,益登,TWSE,電子通路業,等待轉強,53.5,100,57.1,55.8,60.1,31.06,2.02,83.47,126.46,1.22,20.54,2.64,1.75,1,0,0,0,0,0,0,-312,1774,-2607,7.34,-239,2500,-2634,-2986,-307,1896,-2511,37.49,-8.88,-5.62,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
244,1215,卜蜂,TWSE,食品工業,等待轉強,52.9,100,112,112.5,8.69,4.68,7.99,66.08,78.21,1.26,12.07,3.12,6.25,4,-3,-3,-3,-1,-235,0,21,1261,776,37.7,-40,779,1118,1770,30,1240,934,37.41,-2.17,0.45,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
245,5243,乙盛-KY,TWSE,光電業,等待轉強,52.8,100,99,96,38.27,-0.89,11,37.79,176.08,1.47,20.33,1.92,2.22,1,-2,-2,-2,-1,0,0,-38,522,-500,53.08,-34,515,-237,-2888,-11,624,-309,43.68,-2.84,1.02,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
246,6472,保瑞,TWSE,生技醫療業,等待轉強,52.8,100,428.5,415.5,39.22,-1.14,10.18,63.32,138.18,0.21,33.95,3.75,2.33,2,-2,-2,-2,-2,-20,0,196,102,255,11.21,129,414,110,385,170,138,160,55.44,2.24,0.71,ETF短中期同步減碼；ETF 1/3日已轉為減碼；當下除權息調整價未守20日EMA
247,3017,奇鋐,TWSE,電腦及週邊設備業,等待轉強,52.7,100,2165,2225,66.11,85.46,24.51,70.84,120.56,20.17,35.57,18.82,0.97,41,123,187,261,1216,876,149,-168,-929,1670,53.11,165,150,-240,2595,77,-64,376,38.72,-10.17,-11.63,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
248,8422,可寧衛*,TWSE,綠能環保,等待轉強,52.7,100,26.45,27,50.34,24.01,34.38,48.24,158.92,0.21,24.49,2.78,4.54,4,-28,-645,-1739,9748,14089,0,513,-15819,-18971,4.1,2475,-4062,-1573,-19012,556,-13269,-27883,41.23,-3.78,-4.86,中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
249,2881,富邦金,TWSE,金融保險業,等待轉強,52.4,89,128.5,125,,,,92.11,,2.4,17.68,1.97,3.31,34,-308,-927,-169,-54815,-54434,-122,7514,8369,32318,18.3,8718,9554,101528,82700,8762,8848,88213,57.73,2.66,4.47,ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；外資持股趨勢資料不足或期間有非市場異動；當下除權息調整價未守20日EMA
250,3563,牧德,TWSE,光電業,等待轉強,52.3,100,712,701,15.62,8.47,38.68,29.36,306.97,4.61,45.47,8.74,1.97,4,0,0,-1,208,215,0,51,36,-272,7.05,14,117,262,152,-4,61,-608,45.68,-2.25,-1.93,中期趨勢仍向下；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
