排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
278,2312,金寶,TWSE,其他電子業,等待轉強,47.2,100,33.6,31.65,32.7,-5.29,2.47,70.62,122.81,0.35,32.31,2.25,1.79,4,0,-100,-100,-103,-74,0,-2269,882,3400,-39036,0,-100,-103,-74,0,1,-3360000,845,351,7.35,-2409,3597,7603,-14007,-2050,135,3151,-39083,46.77,-2.77,-1.61,ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
279,2002,中鋼,TWSE,鋼鐵工業,等待轉強,46.9,100,18.8,18.83,9.61,-0.16,-0.78,50.93,117.78,-0.16,,0.97,0.8,8,-27,-27,-44,-274,-285287,0,15649,3085,-10301,-308,-57,-134,-448,-286936,1,4,-2519200,-202,-408,13.34,9304,2835,-46570,189417,15591,3420,-9446,286314,49.53,0.16,0.53,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎
280,2891,中信金,TWSE,金融保險業,等待轉強,46.9,100,63,62.25,-17.9,97.76,,93.83,,1.18,15.18,2.25,3.97,39,-8747,402,8786,39164,31736,264,7427,52227,41182,29128,-9782,-3442,19720,4937,3,2,-216846000,-10882,-2155,34.48,13907,21303,-33688,-15642,16718,66552,23622,19295,36.29,-7.02,-11.64,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
281,3406,玉晶光,TWSE,光電業,等待轉強,46.9,100,557,531.5,4.51,17.17,19.55,41.75,231.81,7.9,16.88,2.4,3.05,7,-43,-99,-98,-92,-1750,0,152,-584,-1329,-3844,-43,-143,62,-1542,3,2,-79651000,-124,-305,42.19,209,-259,-1021,-1902,186,-316,-1087,-2014,34.96,-11.54,-8.99,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
282,1102,亞泥,TWSE,水泥工業,等待轉強,46.8,100,33,33.6,-2.21,-7.24,7.99,39.06,129.35,0.56,11.07,0.66,6.97,18,-877,1151,1810,5194,-102924,303,-1413,-54619,-68548,-118136,-999,-12,1538,-106893,4,1,-396000,-7026,-5546,11.45,5859,-49810,-69240,-22724,6956,-47581,-64540,-14036,33.87,-6.1,-7.82,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
283,6278,台表科,TWSE,光電業,等待轉強,46.8,100,177.5,165.75,9.24,3.13,5.77,58.08,140.83,2.17,20.26,2.31,3.13,8,0,-82,-83,5016,1488,12,-601,-6051,-11540,-14146,-718,-2898,1924,-1569,1,4,-514395000,-863,-886,15.48,89,-1545,-11591,-11625,186,-2289,-12577,-11948,39.31,-9.02,-11.25,中期趨勢仍向下；20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
284,6282,康舒,TWSE,電子零組件業,等待轉強,46.5,100,53,48.88,28.28,24.91,2.93,56.18,135.55,0.27,106,2.02,1.51,4,0,80,800,3314,3521,0,-12230,-25337,-20223,-45713,0,800,3314,3521,3,0,42400000,983,165,13.29,-10967,-23110,-18981,-41691,-12122,-27123,-23705,-48344,41.81,-7.58,-10.17,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
285,6515,穎崴,TWSE,半導體業,等待轉強,46.4,100,6735,6097.5,287.9,70.27,26.06,54.61,230.87,19.54,138.01,37.36,0.73,32,-73,-89,-85,-90,-115,-89,-92,-89,-218,-518,-313,-401,-220,-470,1,4,-2700735000,-3,-26,20.48,218,262,35,-43,220,311,24,-28,33.9,-17.75,-12.59,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；2日內除權息，等待價格重置
286,2547,日勝生,TWSE,建材營造,等待轉強,46.4,72,11.1,10.28,141.99,43.61,21.82,75.59,87.59,0.06,79.29,0.8,7.21,1,0,0,-26,-26,3435,0,-742,-2744,1499,7241,0,-26,-31,3426,0,1,-288600,-15,29,13.16,-466,-2784,-533,-146,-750,-2703,1501,3806,,,,ETF短中期同步減碼；外資持股5/10日下降，且外資5日賣超；2日內除權息，等待價格重置
287,2353,宏碁,TWSE,電腦及週邊設備業,等待轉強,46.3,100,30.75,29.9,-3.02,23.35,1.11,64.82,129.54,0.23,23.3,1.27,4.23,16,-33,1285,-2260,-33487,-64818,0,8580,25128,31111,39070,-145,-3930,-36833,-68443,1,4,-120847500,2562,4090,12.42,11294,20486,56303,106431,8452,26495,63853,105922,40.02,-5.65,-4.8,中期趨勢仍向下；ETF短中期同步減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
288,6442,光聖,TWSE,通信網路業,等待轉強,46.1,100,1350,1292.5,1.65,27.4,26.4,53.24,215.86,7.82,50.92,14.92,0.83,10,0,9,35,178,-408,33,-192,792,1053,-807,0,-139,126,-980,2,2,-187650000,-101,-146,33.96,-186,1043,2349,1489,-180,1032,1072,330,33.99,-15.4,-9.09,中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
